Ausgrid 2013-14 Summary Community Electricity Report,,2011-12,,,,,,,,,,
Local Government Area (LGA),,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",
,Number of Customers,MWh,Number of Customers,Average kWh per customer per day,MWh,MWh,Number of Customers,MWh,MWh,Number of Customers,MWh,Number of Customers
ASHFIELD,97,"87,850","18,287",13.1,"83,113","4,737","2,411",753,"25,873","1,271","51,570",101
AUBURN,567,"131,543","25,932",13.9,"119,233","12,309","4,770","2,083","103,298","3,744","467,641",581
BANKSTOWN,585,"431,756","64,733",18.2,"354,011","77,745","28,299","5,040","143,761","6,866","502,934",587
BOTANY BAY,287,"80,415","16,352",13.4,"72,983","7,432","3,283",685,"67,123","2,598","182,505",286
BURWOOD,103,"70,122","12,580",15.2,"64,550","5,571","2,498",779,"38,899","1,689","106,253",106
CANADA BAY,234,"184,969","33,211",15.2,"172,113","12,855","6,024","1,546","62,809","2,851","154,952",242
CANTERBURY,210,"289,476","54,119",14.6,"262,236","27,240","12,116","2,846","80,320","4,231","126,900",212
CESSNOCK,155,"153,441","21,408",19.6,"126,232","27,209","11,022","3,077","39,040","1,774","76,613",156
GOSFORD,447,"504,092","76,406",18,"392,744","111,348","46,312","9,287","127,408","6,439","297,319",450
HORNSBY,319,"431,698","56,314",20.9,"362,176","69,523","24,674","6,226","91,623","4,723","197,255",329
HUNTERS HILL,27,"45,456","5,258",23.6,"41,384","4,072","1,554",351,"9,178",443,"17,040",28
HURSTVILLE,171,"185,323","31,228",16.2,"154,154","31,169","12,532","2,603","61,292","3,520","93,675",173
KOGARAH,88,"138,061","22,258",16.9,"116,745","21,316","8,414","1,452","34,394","1,865","82,732",88
KU-RING-GAI,181,"390,257","40,590",26.3,"343,288","46,970","16,757","3,036","57,767","2,732","110,432",187
LAKE MACQUARIE,429,"546,854","79,122",18.9,"422,880","123,974","54,722","14,075","122,125","6,229","233,069",431
LANE COVE,167,"94,126","13,811",18.6,"87,516","6,610","2,810",796,"34,841","1,468","86,869",169
LEICHHARDT,159,"129,092","25,340",13.9,"122,804","6,289","3,406","1,059","62,075","3,061","68,148",164
MAITLAND,211,"190,089","27,242",19.1,"156,836","33,254","13,470","4,228","57,079","2,743","107,791",209
MANLY,102,"115,357","19,284",16.3,"103,657","11,700","5,157",955,"37,973","1,846","50,964",102
MARRICKVILLE,257,"167,605","36,363",12.6,"159,352","8,253","4,220","1,579","86,807","4,224","133,884",266
MOSMAN,66,"99,996","13,743",19.9,"93,931","6,066","2,232",470,"24,080","1,246","22,317",67
MUSWELLBROOK,79,"53,449","6,629",22,"41,157","12,293","4,507",945,"28,991","1,367","27,903",83
NEWCASTLE,605,"373,935","67,339",15.2,"305,901","68,033","31,871","9,433","180,678","7,912","316,709",605
NORTH SYDNEY,473,"179,315","36,993",13.2,"171,872","7,443","3,111",447,"160,539","6,581","264,384",487
PITTWATER,122,"179,386","24,350",20.1,"156,641","22,746","9,248","2,548","50,121","2,995","62,265",122
PORT STEPHENS,213,"211,024","31,314",18.4,"157,967","53,057","23,729","5,491","54,668","2,928","106,000",208
RANDWICK,291,"308,663","58,850",14.3,"281,706","26,957","11,585","2,461","75,974","3,579","208,055",294
ROCKDALE,173,"218,057","40,878",14.6,"188,013","30,044","13,269","1,962","57,981","3,008","92,824",177
RYDE,619,"257,092","42,917",16.4,"227,421","29,671","11,808","2,971","105,440","4,182","478,443",626
SINGLETON,112,"80,447","9,200",23.9,"63,066","17,382","6,288","1,810","29,170","1,754","48,006",108
STRATHFIELD,171,"82,731","13,394",16.9,"76,222","6,509","2,639",777,"39,111","1,612","133,989",172
SUTHERLAND,406,"651,693","84,750",21,"523,691","128,002","44,528","7,800","149,001","7,419","235,568",411
SYDNEY,"3,300","410,632","96,981",11.6,"399,461","11,171","5,199","1,053","771,186","29,754","2,722,806","3,348"
UPPER HUNTER,46,"43,244","5,365",22,"33,583","9,662","3,574",871,"21,931","1,272","15,912",48
WARRINGAH,386,"370,625","57,953",17.5,"320,530","50,095","20,453","5,813","130,355","6,483","231,497",396
WAVERLEY,176,"174,898","32,989",14.5,"166,573","8,325","3,884",909,"68,384","3,391","110,418",176
WILLOUGHBY,423,"181,118","28,749",17.2,"168,487","12,631","5,545","1,755","133,385","5,287","337,271",431
WOOLLAHRA,133,"209,599","27,456",20.9,"197,558","12,041","4,544",560,"60,526","3,028","52,981",139
WYONG,350,"419,207","65,945",17.4,"335,564","83,643","35,868","9,164","98,807","5,158","255,690",355
Total,"12,940","8,872,695","1,425,631",17,"7,627,349","1,245,347","508,332","119,695","3,584,011","163,269","8,871,585","13,123"
