,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Local Government Area,Average Household Consumption (kWh per customer per day),,,,,Residential Totals,,,,,Solar ,,,"Non-residential small sites
(0-160 MWh pa)",,"Non-residential med-large sites
(>160 MWh pa)",
,Jul-Sep 2014,Oct-Dec 2014,Jan-Mar 2015,Apr-Jun 2015,Annual 2014-15,General Supply (MWh),Off Peak Hot Water (MWh),Total (MWh),No of Off Peak Customers,Total number of Customers,Number of solar customers,Generation capacity (kWp),Energy exported to the grid (MWh),MWh,Number of Customers,MWh,Number of Customers
ASHFIELD, 13.5 , 10.8 , 10.8 , 13.0 ,12.0," 77,955 "," 3,874 "," 81,828 "," 2,335 "," 18,627 ", 548 ," 1,298 "," 1,052 "," 25,702 "," 1,312 "," 47,425 ", 96 
AUBURN, 13.8 , 11.4 , 11.5 , 13.0 ,12.4," 118,267 "," 10,744 "," 129,010 "," 4,470 "," 28,500 "," 2,671 "," 5,060 "," 3,254 "," 110,157 "," 3,954 "," 450,131 ", 571 
BANKSTOWN, 19.0 , 15.7 , 15.6 , 18.6 ,17.2," 350,911 "," 69,550 "," 420,462 "," 27,507 "," 66,843 "," 4,992 "," 12,752 "," 9,279 "," 141,413 "," 7,087 "," 455,982 ", 594 
BOTANY BAY, 13.0 , 11.4 , 11.4 , 12.9 ,12.2," 73,485 "," 6,504 "," 79,989 "," 3,188 "," 18,022 ", 571 ," 1,638 "," 1,119 "," 66,472 "," 2,731 "," 148,519 ", 298 
BURWOOD, 15.2 , 12.2 , 12.1 , 14.5 ,13.5," 61,073 "," 4,636 "," 65,709 "," 2,410 "," 13,342 ", 553 ," 1,442 "," 1,118 "," 38,443 "," 1,792 "," 86,750 ", 106 
CANADA BAY, 14.4 , 13.2 , 12.7 , 15.2 ,13.9," 174,490 "," 10,480 "," 184,970 "," 5,758 "," 36,534 "," 1,138 "," 2,913 "," 2,313 "," 65,547 "," 3,008 "," 145,445 ", 251 
CANTERBURY, 15.4 , 12.1 , 12.3 , 14.2 ,13.5," 250,847 "," 23,168 "," 274,015 "," 11,722 "," 55,641 "," 2,542 "," 6,123 "," 4,737 "," 79,169 "," 4,408 "," 118,664 ", 212 
CESSNOCK, 19.4 , 18.1 , 17.6 , 19.5 ,18.7," 129,086 "," 23,925 "," 153,012 "," 10,969 "," 22,477 "," 2,493 "," 7,539 "," 5,837 "," 40,241 "," 1,868 "," 74,411 ", 158 
GOSFORD, 19.2 , 15.7 , 15.8 , 17.8 ,17.1," 382,020 "," 103,387 "," 485,406 "," 46,207 "," 77,701 "," 6,775 "," 16,438 "," 13,216 "," 126,928 "," 6,769 "," 284,235 ", 436 
HORNSBY, 21.4 , 17.8 , 16.9 , 21.5 ,19.4," 343,459 "," 62,002 "," 405,461 "," 24,272 "," 57,194 "," 4,873 "," 11,887 "," 9,248 "," 83,780 "," 4,465 "," 183,564 ", 299 
HUNTERS HILL, 26.3 , 19.1 , 20.7 , 23.7 ,22.4," 40,786 "," 3,561 "," 44,347 "," 1,502 "," 5,418 ", 222 , 628 , 433 ," 9,157 ", 451 ," 17,027 ", 29 
HURSTVILLE, 16.6 , 14.0 , 13.9 , 16.1 ,15.1," 149,578 "," 27,686 "," 177,264 "," 12,123 "," 32,076 "," 1,900 "," 4,394 "," 3,688 "," 62,378 "," 3,720 "," 92,956 ", 182 
KOGARAH, 18.3 , 14.0 , 14.7 , 16.4 ,15.9," 113,322 "," 18,757 "," 132,078 "," 8,186 "," 22,821 "," 1,112 "," 2,785 "," 2,250 "," 34,088 "," 1,921 "," 78,112 ", 91 
KU-RING-GAI, 26.6 , 21.4 , 21.1 , 25.4 ,23.6," 325,364 "," 40,122 "," 365,485 "," 16,172 "," 42,357 "," 2,340 "," 6,438 "," 4,372 "," 57,515 "," 2,801 "," 100,114 ", 180 
LAKE MACQUARIE, 19.0 , 16.8 , 16.2 , 18.6 ,17.7," 412,112 "," 111,543 "," 523,654 "," 54,412 "," 81,213 "," 9,561 "," 24,642 "," 21,643 "," 119,249 "," 6,345 "," 206,752 ", 420 
LANE COVE, 19.9 , 14.7 , 14.7 , 18.7 ,17.0," 84,937 "," 5,406 "," 90,343 "," 2,636 "," 14,536 ", 592 ," 1,714 "," 1,104 "," 35,284 "," 1,542 "," 74,205 ", 167 
LEICHHARDT, 14.2 , 11.6 , 11.4 , 14.2 ,12.9," 115,216 "," 5,123 "," 120,339 "," 3,300 "," 25,600 ", 860 ," 2,015 "," 1,525 "," 56,840 "," 3,061 "," 62,082 ", 158 
MAITLAND, 18.7 , 17.5 , 17.7 , 18.2 ,18.0," 166,509 "," 29,141 "," 195,650 "," 13,358 "," 29,721 "," 3,274 "," 9,651 "," 7,608 "," 57,260 "," 2,888 "," 95,946 ", 210 
MANLY, 17.7 , 13.4 , 13.3 , 17.1 ,15.4," 99,210 "," 10,203 "," 109,413 "," 5,003 "," 19,471 ", 633 ," 1,626 "," 1,406 "," 36,266 "," 1,934 "," 51,634 ", 103 
