,,,,,,,,,,,,,
,,,,,,,,,,,,,
Local Government Area,Daily average household electricity use (kWh per customer per day),Residential Totals,,,,,Solar ,,,"Non-residential small-medium sites
(0-160 MWh pa)",,"Non-residential large sites
(>160 MWh pa)",
,,General Supply (MWh),Off Peak Hot Water (MWh),Total (MWh),No of Off Peak Customers,Total number of Customers,Number of solar customers,Generation capacity (kWp),Energy exported to the grid (MWh),MWh,Number of Customers,MWh,Number of Customers
ASHFIELD,12,"77,818","3,660","81,478","2,312","18,658",595,"1,713","1,152","27,356","1,318","45,893",88
AUBURN,12.4,"124,205","10,322","134,527","4,394","29,664","2,802","6,741","3,535","116,800","3,836","448,420",544
BANKSTOWN,17.3,"359,995","67,387","427,382","27,144","67,799","5,421","16,330","10,540","145,614","7,135","460,289",591
BOTANY BAY,12.3,"75,823","6,255","82,078","3,144","18,305",622,"2,282","1,289","68,572","2,736","146,901",304
BURWOOD,13.2,"62,221","4,424","66,645","2,388","13,788",585,"1,701","1,201","38,199","1,796","91,262",114
CANADA BAY,13.8,"178,885","9,973","188,857","5,671","37,377","1,241","3,533","2,574","65,589","2,849","143,870",255
CANTERBURY,13.5,"254,540","22,009","276,549","11,600","56,319","2,709","7,528","5,245","81,897","4,411","114,635",207
CESSNOCK,18.9,"133,659","23,856","157,515","10,954","22,865","2,780","10,347","6,573","40,730","1,804","72,089",155
GOSFORD,17.2,"391,145","101,755","492,900","46,208","78,568","7,395","20,515","14,815","129,937","6,762","286,393",433
HORNSBY,19.1,"345,222","60,131","405,353","24,095","58,111","5,237","14,274","10,276","86,824","4,453","181,046",296
HUNTERS HILL,22.4,"41,446","3,382","44,827","1,478","5,483",257,787,517,"9,479",441,"17,182",28
HURSTVILLE,15,"151,897","26,653","178,551","11,965","32,678","2,038","5,338","4,022","65,977","3,669","91,089",174
KOGARAH,15.8,"115,229","18,215","133,444","8,121","23,151","1,205","3,367","2,476","33,561","1,905","77,869",94
KU-RING-GAI,23.3,"327,682","38,343","366,025","15,975","42,974","2,617","7,992","4,960","57,633","2,642","98,678",177
LAKE MACQUARIE,17.8,"424,962","109,958","534,921","54,345","82,332","10,394","29,470","23,656","120,808","6,354","208,947",427
LANE COVE,16.7,"86,667","5,130","91,797","2,588","15,079",648,"1,976","1,241","37,085","1,548","69,961",163
