,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Local Government Area,Residential ,,,,,,Solar ,,,,,"Non-residential small-medium sites
(0-160 MWh pa)",,"Non-residential large sites
(>160 MWh pa)",,Unmetered supply (eg. street lighting),
,Daily average (kWh per customer per day),MWh,,,Customer Numbers,,Number of solar customers,,Generation capacity (kWp),,Energy exported to the grid (MWh),MWh,Number of Customers,MWh,Number of Customers,Total (MWh),
,,General Supply ,Off Peak Hot Water,Total,Off Peak ,Total ,Res,Non-Res,"Res
 (kWp)",Non-Res (kWp),,,,,,,
BAYSIDE*,12.9," 269,303 "," 31,193 "," 300,496 "," 15,897 "," 63,900 "," 2,373 ", 153 ," 5,986 "," 2,325 "," 4,840 "," 130,092 "," 5,809 "," 235,861 ", 495 ," 6,769 ",
BURWOOD,13.2," 63,531 "," 4,236 "," 67,766 "," 2,342 "," 14,058 ", 584 , 27 ," 1,538 ", 313 ," 1,196 "," 38,104 "," 1,807 "," 93,472 ", 111 ," 1,263 ",
CANADA BAY,13.8," 180,327 "," 9,447 "," 189,773 "," 5,537 "," 37,636 "," 1,268 ", 69 ," 3,533 "," 1,117 "," 2,644 "," 66,357 "," 2,877 "," 139,326 ", 247 ," 2,767 ",
CANTERBURY-BANKSTOWN*,15.6," 630,841 "," 86,489 "," 717,330 "," 38,166 "," 126,201 "," 8,423 ", 427 ," 21,412 "," 6,764 "," 16,278 "," 229,914 "," 11,687 "," 560,717 ", 771 ," 12,276 ",
CENTRAL COAST*,17.1," 750,526 "," 175,870 "," 926,396 "," 81,922 "," 148,370 "," 16,462 ", 506 ," 43,243 "," 7,902 "," 33,672 "," 227,452 "," 12,031 "," 542,899 ", 763 ," 12,792 ",
CESSNOCK,19.5," 142,360 "," 23,377 "," 165,737 "," 10,907 "," 23,228 "," 2,973 ", 144 ," 9,759 "," 3,056 "," 7,136 "," 41,834 "," 1,815 "," 71,243 ", 148 ," 2,136 ",
CUMBERLAND**,13.6," 102,561 "," 9,804 "," 112,365 "," 4,208 "," 22,634 "," 1,595 ", 91 ," 3,857 "," 1,903 "," 3,230 "," 68,861 "," 2,600 "," 170,033 ", 241 ," 2,818 ",
GEORGES RIVER*,15.2," 271,564 "," 43,852 "," 315,416 "," 19,890 "," 56,750 "," 3,267 ", 137 ," 8,194 "," 1,992 "," 6,482 "," 93,688 "," 5,446 "," 171,812 ", 252 ," 5,255 ",
HORNSBY*,19.3," 310,228 "," 53,082 "," 363,310 "," 21,443 "," 51,511 "," 4,781 ", 111 ," 13,012 "," 1,803 "," 9,499 "," 78,293 "," 4,080 "," 157,346 ", 264 ," 4,693 ",
HUNTERS HILL,22.6," 42,095 "," 3,233 "," 45,328 "," 1,458 "," 5,506 ", 274 , 12 , 860 , 90 , 540 ," 9,263 ", 436 ," 16,771 ", 27 , 445 ,
INNER WEST*,11.9," 348,985 "," 14,563 "," 363,549 "," 9,515 "," 83,393 "," 3,036 ", 245 ," 7,356 "," 4,333 "," 6,058 "," 175,714 "," 8,818 "," 228,322 ", 472 ," 8,190 ",
