,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Local Government Area,Residential ,,,,,,Solar ,,,,,"Non-residential small-medium sites
(0-160 MWh pa)",,"Non-residential large sites
(>160 MWh pa)",,Unmetered supply (eg. street lighting)
,Daily average (kWh per customer per day),MWh,,,Customer Numbers,,Number of solar customers,,Generation capacity (kWp),,Energy exported to the grid (MWh),MWh,Number of Customers,MWh,Number of Customers,Total (MWh)
,,General Supply ,Off Peak Hot Water,Total,Off Peak ,Total ,Res,Non-Res,"Res
 (kWp)",Non-Res (kWp),,,,,,
BAYSIDE*,12.5," 268,360 "," 30,183 "," 298,543 "," 15,697 "," 65,388 "," 2,494 ", 177 ," 6,847 "," 2,928 "," 5,163 "," 130,413 "," 5,841 "," 248,121 ", 504 ," 6,673 "
BURWOOD,12.9," 63,170 "," 3,983 "," 67,153 "," 2,274 "," 14,286 ", 620 , 34 ," 1,786 ", 397 ," 1,259 "," 40,330 "," 1,808 "," 87,270 ", 113 ," 1,262 "
CANADA BAY,13.4," 176,632 "," 9,028 "," 185,660 "," 5,407 "," 37,853 "," 1,374 ", 84 ," 4,274 "," 1,467 "," 2,783 "," 66,925 "," 2,888 "," 136,906 ", 244 ," 2,731 "
CANTERBURY-BANKSTOWN*,15.2," 628,550 "," 83,362 "," 711,912 "," 37,532 "," 128,596 "," 8,801 ", 516 ," 24,117 "," 12,644 "," 17,715 "," 229,563 "," 11,796 "," 551,902 ", 769 ," 12,113 "
CENTRAL COAST*,16.5," 729,748 "," 171,483 "," 901,230 "," 81,620 "," 149,891 "," 18,016 ", 608 ," 53,506 "," 13,174 "," 38,056 "," 220,440 "," 11,874 "," 547,894 ", 750 ," 15,042 "
CESSNOCK,18.7," 139,001 "," 22,656 "," 161,657 "," 10,835 "," 23,649 "," 3,493 ", 175 ," 13,613 "," 3,843 "," 8,931 "," 42,118 "," 1,808 "," 71,959 ", 146 ," 2,135 "
CUMBERLAND**,13.3," 101,142 "," 9,406 "," 110,548 "," 4,150 "," 22,837 "," 1,635 ", 121 ," 4,170 "," 2,271 "," 3,535 "," 69,338 "," 2,601 "," 151,841 ", 242 ," 2,559 "
GEORGES RIVER*,14.8," 266,673 "," 42,284 "," 308,957 "," 19,649 "," 57,242 "," 3,474 ", 151 ," 9,726 "," 2,495 "," 6,720 "," 90,536 "," 5,406 "," 172,013 ", 245 ," 5,207 "
HORNSBY*,18.5," 300,260 "," 51,449 "," 351,708 "," 21,254 "," 52,180 "," 5,202 ", 145 ," 16,014 "," 2,594 "," 9,983 "," 77,585 "," 4,102 "," 156,251 ", 272 ," 4,304 "
HUNTERS HILL,21.8," 40,845 "," 3,071 "," 43,916 "," 1,423 "," 5,519 ", 308 , 14 ," 1,088 ", 116 , 587 ," 8,802 ", 427 ," 16,176 ", 28 , 420 
INNER WEST*,11.7," 343,378 "," 13,806 "," 357,185 "," 9,358 "," 83,944 "," 3,344 ", 291 ," 9,001 "," 5,954 "," 6,613 "," 172,729 "," 8,794 "," 229,303 ", 475 ," 8,095 "
