Local Government Area,Residential ,,,,,,Solar ,,,,,"Non-residential small-medium sites
(0-160 MWh pa)",,"Non-residential large sites
(>160 MWh pa)",,Unmetered supply (eg. street lighting)
,Daily average (kWh per customer per day),MWh,,,Customer Numbers,,Number of solar customers,,Generation capacity (kWp),,Energy exported to the grid (MWh),MWh,Number of Customers,MWh,Number of Customers,Total (MWh)
,,General Supply ,Off Peak Hot Water,Total,Off Peak ,Total ,Res,Non-Res,"Res
 (kWp)",Non-Res (kWp),,,,,,
BAYSIDE*,12.5," 275,638 "," 29,477 "," 305,115 "," 15,530 "," 66,978 "," 2,842 ", 190 ," 9,173 "," 3,901 "," 5,848 "," 136,397 "," 5,968 "," 247,791 ", 472 ," 6,424 "
BURWOOD,12.8," 64,430 "," 3,815 "," 68,245 "," 2,241 "," 14,555 ", 684 , 35 ," 2,227 ", 632 ," 1,434 "," 41,423 "," 1,814 "," 85,936 ", 110 ," 1,140 "
CANADA BAY,13.5," 178,405 "," 8,683 "," 187,087 "," 5,259 "," 38,053 "," 1,601 ", 85 ," 5,889 "," 3,572 "," 3,428 "," 67,815 "," 2,899 "," 130,204 ", 226 ," 2,663 "
CANTERBURY-BANKSTOWN*,15.3," 644,476 "," 81,360 "," 725,835 "," 37,011 "," 129,998 "," 9,947 ", 561 ," 32,003 "," 16,132 "," 20,382 "," 231,607 "," 11,801 "," 541,472 ", 740 ," 11,961 "
CENTRAL COAST*,16.5," 737,559 "," 169,939 "," 907,498 "," 81,335 "," 151,040 "," 21,015 ", 674 ," 75,425 "," 19,186 "," 55,255 "," 222,132 "," 11,905 "," 541,974 ", 722 ," 12,493 "
CESSNOCK,19.0," 145,116 "," 22,061 "," 167,177 "," 10,761 "," 24,125 "," 4,329 ", 204 ," 19,434 "," 4,745 "," 11,923 "," 43,136 "," 1,809 "," 71,970 ", 134 ," 2,186 "
CUMBERLAND**,13.3," 102,960 "," 9,101 "," 112,060 "," 4,096 "," 23,049 "," 1,788 ", 118 ," 5,312 "," 3,596 "," 3,833 "," 69,427 "," 2,605 "," 149,244 ", 240 ," 2,549 "
GEORGES RIVER*,14.8," 269,979 "," 41,130 "," 311,109 "," 19,428 "," 57,591 "," 3,923 ", 160 ," 12,931 "," 3,326 "," 7,693 "," 89,799 "," 5,381 "," 167,574 ", 229 ," 5,093 "
HORNSBY*,18.4," 302,537 "," 50,502 "," 353,039 "," 21,050 "," 52,572 "," 5,993 ", 155 ," 22,336 "," 3,452 "," 11,774 "," 76,862 "," 4,131 "," 153,475 ", 261 ," 4,161 "
HUNTERS HILL,22.1," 41,563 "," 3,028 "," 44,591 "," 1,398 "," 5,527 ", 362 , 12 ," 1,461 ", 116 , 648 ," 8,431 ", 425 ," 15,579 ", 27 , 417 
INNER WEST*,11.7," 347,086 "," 13,492 "," 360,578 "," 9,191 "," 84,326 "," 3,901 ", 315 ," 12,151 "," 6,632 "," 7,921 "," 171,428 "," 8,702 "," 223,623 ", 453 ," 7,758 "
KU-RING-GAI,22.2," 324,006 "," 34,063 "," 358,069 "," 15,262 "," 44,236 "," 3,631 ", 87 ," 15,385 "," 2,041 "," 6,831 "," 56,463 "," 2,633 "," 95,252 ", 174 ," 4,226 "
