,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Region,Local Government Area,Residential ,,,,,,Solar ,,,,,"Non-residential small-medium sites
(0-160 MWh pa)",,"Non-residential large sites
(>160 MWh pa)",,Unmetered supply (eg. street lighting),,,,,,
,,Daily average (kWh per customer per day),MWh,,,Customer Numbers,,Number of solar customers,,Generation capacity (kWp),,Energy exported to the grid (MWh),MWh,Number of Customers,MWh,Number of Customers,Total (MWh),,,,,,
,,,General Supply ,Off Peak Hot Water,Total,Off Peak ,Total ,Res,Non-Res,"Res
 (kWp)",Non-Res (kWp),,,,,,,,,,,,
Sydney LGAs,BAYSIDE*,12.4," 282,447 "," 28,205 "," 310,652 "," 15,152 "," 68,385 "," 3,835 ", 239 ," 16,653 "," 5,505 "," 11,704 "," 126,260 "," 6,232 "," 231,664 ", 451 ," 5,452 ",,,,,,
,BURWOOD,12.4," 63,397 "," 3,525 "," 66,922 "," 2,165 "," 14,751 ", 896 , 45 ," 3,889 ", 812 ," 2,534 "," 34,494 "," 1,606 "," 85,330 ", 115 , 943 ,,,,,,
,CANADA BAY,13.4," 179,613 "," 8,194 "," 187,806 "," 4,960 "," 38,539 "," 2,190 ", 107 ," 10,523 "," 4,043 "," 7,356 "," 59,313 "," 2,859 "," 116,647 ", 216 ," 1,906 ",,,,,,
,CANTERBURY-BANKSTOWN*,15.0," 649,150 "," 77,603 "," 726,753 "," 36,029 "," 132,350 "," 13,057 ", 729 ," 56,086 "," 22,138 "," 40,909 "," 216,296 "," 11,897 "," 506,226 ", 713 ," 10,844 ",,,,,,
,CUMBERLAND**,12.8," 100,807 "," 8,459 "," 109,266 "," 3,966 "," 23,332 "," 2,280 ", 155 ," 9,179 "," 5,029 "," 7,006 "," 66,374 "," 2,648 "," 129,533 ", 231 ," 2,469 ",,,,,,
,GEORGES RIVER*,14.7," 274,548 "," 39,403 "," 313,951 "," 18,966 "," 58,545 "," 5,312 ", 204 ," 24,206 "," 5,762 "," 15,778 "," 83,392 "," 5,458 "," 157,453 ", 238 ," 4,360 ",,,,,,
,HORNSBY*,18.3," 304,963 "," 50,370 "," 355,333 "," 20,750 "," 53,071 "," 8,250 ", 207 ," 40,686 "," 5,227 "," 24,408 "," 71,070 "," 4,228 "," 141,324 ", 250 ," 3,515 ",,,,,,
,HUNTERS HILL,21.6," 41,192 "," 2,997 "," 44,189 "," 1,342 "," 5,597 ", 498 , 14 ," 2,535 ", 185 ," 1,306 "," 7,886 ", 443 ," 14,224 ", 26 , 351 ,,,,,,
,INNER WEST*,11.7," 351,803 "," 12,115 "," 363,919 "," 8,803 "," 85,271 "," 5,100 ", 385 ," 19,958 "," 8,754 "," 13,651 "," 161,857 "," 8,709 "," 212,403 ", 432 ," 6,450 ",,,,,,
,KU-RING-GAI,21.9," 325,971 "," 33,122 "," 359,093 "," 14,743 "," 44,944 "," 5,210 ", 112 ," 29,157 "," 2,787 "," 13,909 "," 52,995 "," 2,716 "," 92,572 ", 170 ," 3,491 ",,,,,,
