Ausgrid 2010-11 Summary Community Electricity Report,,,,,,,,,,,,,,,,,,,,,,
Local Government Area (LGA),2010-11,,,,,,,,,,,2009-10,,,,,,,,,,
,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",,Residential Total,,,Residential General Supply,Residential Off Peak Hot Water,,Solar generation exported to grid,"Non-residential Small Sites
(0-160 MWh pa)",,"Non-residential Med-Large Sites
(>160 MWh pa)",
,MWh,Number of Customers,Average kWh per customer per day,MWh,MWh,Number of Customers,MWh,MWh,Number of Customers,MWh,Number of Customers,MWh,Number of Customers,Average kWh per customer per day,MWh,MWh,Number of Customers,MWh,MWh,Number of Customers,MWh,Number of Customers
ASHFIELD,"92,947","18,260",13.9,"88,087","4,859","2,448",343,"26,666","1,272","55,041",106,"94,276","18,287",14.1,"89,185","5,091","2,482",30,"28,188","1,275","56,495",107
AUBURN,"137,813","25,208",15,"125,369","12,444","4,840",928,"105,785","3,586","468,866",586,"138,746","24,738",15.4,"125,651","13,095","4,896",302,"109,558","3,523","458,497",570
BANKSTOWN,"456,714","64,150",19.5,"379,051","77,663","28,495","2,050","147,408","6,841","524,516",585,"465,711","63,813",20,"385,907","79,805","28,855",89,"151,794","6,783","527,128",574
BOTANY BAY,"84,359","16,291",14.2,"76,721","7,638","3,325",274,"68,009","2,625","189,071",290,"85,766","16,114",14.6,"77,731","8,035","3,353",19,"68,722","2,585","191,530",287
BURWOOD,"74,533","12,336",16.6,"68,755","5,778","2,556",325,"40,136","1,688","109,487",106,"75,847","12,324",16.9,"69,908","5,939","2,607",16,"41,591","1,689","110,263",103
CANADA BAY,"196,515","32,569",16.5,"183,258","13,257","6,162",733,"63,374","2,780","159,411",244,"197,461","32,157",16.8,"183,276","14,185","6,287",40,"65,142","2,702","163,112",235
CANTERBURY,"306,528","53,897",15.6,"278,280","28,248","12,336","1,185","80,750","4,222","134,335",220,"310,823","53,749",15.8,"281,769","29,054","12,503",73,"82,226","4,172","135,629",220
CESSNOCK,"161,296","21,061",21,"134,127","27,168","11,023","1,484","41,850","1,741","73,276",149,"165,609","20,652",22,"137,722","27,886","11,018",121,"47,315","1,736","68,640",141
GOSFORD,"528,358","76,133",19,"417,808","110,550","46,385","4,653","130,456","6,460","310,625",474,"542,031","75,928",19.6,"429,908","112,123","46,533",386,"132,283","6,461","316,382",467
HORNSBY,"460,447","56,133",22.5,"390,355","70,092","24,838","3,249","93,958","4,699","204,854",335,"466,913","55,923",22.9,"395,925","70,989","24,978",256,"95,948","4,653","208,407",334
HUNTERS HILL,"48,571","5,246",25.4,"44,328","4,243","1,573",179,"9,400",443,"17,847",30,"48,421","5,230",25.4,"44,030","4,391","1,605",26,"9,490",428,"17,643",28
HURSTVILLE,"196,309","31,094",17.3,"164,969","31,340","12,752","1,226","61,055","3,523","98,867",177,"201,320","30,918",17.8,"168,930","32,390","12,929",69,"62,264","3,457","98,128",172
KOGARAH,"147,056","22,148",18.2,"125,578","21,477","8,586",681,"34,482","1,837","85,764",90,"149,746","22,047",18.6,"127,766","21,980","8,704",83,"33,630","1,825","88,950",90
KU-RING-GAI,"412,671","39,863",28.4,"364,618","48,053","17,008","1,660","60,174","2,693","112,372",188,"411,540","39,344",28.7,"362,206","49,334","17,254",117,"59,650","2,598","113,291",186
LAKE MACQUARIE,"575,975","78,408",20.1,"451,678","124,297","54,880","7,148","123,545","6,161","233,446",432,"590,672","77,778",20.8,"462,058","128,614","55,056",604,"125,113","6,125","229,224",416
LANE COVE,"99,668","13,714",19.9,"92,685","6,983","2,877",423,"36,005","1,470","90,481",170,"99,620","13,673",20,"92,374","7,246","2,936",35,"36,955","1,458","90,189",165
LEICHHARDT,"135,395","25,223",14.7,"128,706","6,689","3,454",523,"63,763","3,066","71,702",170,"135,050","25,138",14.7,"128,068","6,982","3,503",77,"66,254","3,070","72,547",165
MAITLAND,"200,758","26,419",20.8,"167,372","33,386","13,510","2,037","59,073","2,684","106,861",209,"206,239","25,872",21.8,"171,552","34,687","13,593",144,"60,818","2,635","104,608",199
MANLY,"119,812","19,191",17.1,"107,568","12,244","5,230",546,"38,699","1,838","52,601",107,"119,002","19,057",17.1,"106,753","12,249","5,302",54,"40,410","1,872","54,979",107
MARRICKVILLE,"176,537","36,228",13.4,"167,907","8,630","4,256",774,"90,392","4,262","129,179",262,"178,202","36,015",13.6,"168,722","9,480","4,294",99,"91,686","4,267","128,510",263
MOSMAN,"104,820","13,729",20.9,"98,705","6,115","2,270",216,"24,851","1,242","23,665",68,"104,459","13,710",20.9,"98,012","6,447","2,301",30,"25,823","1,232","22,885",63
MUSWELLBROOK,"56,443","6,458",23.9,"44,279","12,165","4,521",425,"30,467","1,305","29,988",88,"58,031","6,370",25,"45,744","12,287","4,546",18,"33,215","1,270","35,152",90
NEWCASTLE,"395,125","66,941",16.2,"326,376","68,750","32,140","4,940","177,784","7,789","323,269",612,"404,328","66,646",16.6,"332,815","71,512","32,354",502,"179,044","7,735","324,940",593
NORTH SYDNEY,"189,256","36,935",14,"181,557","7,700","3,147",249,"165,675","6,594","276,983",513,"188,397","36,796",14,"180,281","8,116","3,189",73,"167,740","6,569","287,646",501
PITTWATER,"187,814","24,223",21.2,"164,322","23,492","9,350","1,552","52,784","2,905","62,514",121,"189,267","24,086",21.5,"165,206","24,061","9,502",179,"53,238","2,878","64,396",119
PORT STEPHENS,"221,117","31,014",19.5,"167,991","53,126","23,734","2,762","54,711","2,870","107,255",206,"226,914","30,697",20.3,"172,094","54,820","23,713",187,"56,713","2,861","103,946",202
RANDWICK,"322,126","58,397",15.1,"294,535","27,591","11,751","1,174","75,316","3,505","214,235",295,"324,492","58,125",15.3,"295,530","28,962","11,927",100,"79,009","3,394","212,566",292
ROCKDALE,"228,592","40,577",15.4,"198,202","30,390","13,439",911,"57,971","2,982","95,234",181,"234,749","40,575",15.9,"203,291","31,459","13,608",68,"57,940","2,930","97,632",184
RYDE,"274,245","42,710",17.6,"244,138","30,108","11,992","1,431","112,782","4,119","477,837",624,"276,163","42,386",17.9,"245,382","30,782","12,204",122,"111,917","3,879","472,462",605
SINGLETON,"86,613","9,130",26,"68,859","17,754","6,337",804,"31,210","1,720","50,825",114,"88,617","8,998",27,"70,654","17,963","6,360",39,"34,519","1,718","50,688",113
STRATHFIELD,"88,371","13,349",18.1,"81,687","6,684","2,693",254,"41,706","1,593","137,254",177,"88,944","13,213",18.4,"81,967","6,977","2,740",16,"43,698","1,588","137,999",175
SUTHERLAND,"686,307","84,454",22.3,"557,891","128,416","44,717","3,886","149,941","7,389","242,090",420,"702,521","84,345",22.8,"572,134","130,387","44,980",264,"152,827","7,417","242,442",406
SYDNEY,"431,756","96,209",12.3,"419,895","11,861","5,232",514,"788,843","29,088","2,809,656","3,392","433,363","95,359",12.5,"421,015","12,349","5,285",73,"807,975","28,552","2,852,247","3,368"
UPPER HUNTER,"45,974","5,346",23.6,"36,145","9,829","3,600",415,"23,392","1,233","16,384",50,"47,529","5,306",24.5,"37,720","9,809","3,609",41,"26,869","1,223","17,699",48
WARRINGAH,"389,337","57,585",18.5,"337,998","51,339","20,740","3,328","131,227","6,388","242,560",408,"393,317","57,250",18.8,"340,494","52,823","21,047",278,"134,015","6,283","237,613",392
WAVERLEY,"183,543","32,961",15.3,"174,786","8,757","3,963",515,"69,083","3,323","115,004",177,"184,516","32,943",15.3,"175,014","9,501","4,067",65,"69,913","3,274","116,133",175
WILLOUGHBY,"193,257","28,655",18.5,"180,052","13,205","5,675",938,"135,097","5,168","347,856",446,"192,528","28,588",18.5,"178,819","13,709","5,815",73,"133,417","5,057","346,696",442
WOOLLAHRA,"221,799","27,419",22.2,"209,435","12,364","4,593",283,"62,043","3,031","53,834",144,"222,693","27,473",22.2,"209,823","12,870","4,652",55,"62,339","3,000","53,829",146
WYONG,"436,971","65,432",18.3,"353,459","83,512","35,840","5,037","100,307","5,102","259,921",364,"447,399","64,928",18.9,"362,510","84,889","35,842",444,"102,600","5,071","263,749",352
Total,"9,355,727","1,415,097",18.1,"8,097,528","1,258,200","512,270","60,055","3,660,171","161,235","9,114,966","13,331","9,491,223","1,406,551",18.5,"8,197,945","1,293,278","516,431","5,267","3,741,850","159,245","9,174,872","13,097"
,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,
"1. Electricity use data is from billing data for homes, businesses and other customers in our network area.",,,,,,,,,,,,,,,,,,,,,,
