Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers
ASHFIELD,98522,18249,28101,1260,62500,107
AUBURN,142177,24386,111275,3494,453358,556
BANKSTOWN,482420,63210,151994,6676,515338,560
BOTANY BAY,87333,15804,70692,2554,188681,280
BURWOOD,79300,12275,40262,1689,110005,100
CANADA BAY,200175,31186,67503,2598,159885,220
CANTERBURY,323098,53551,83943,4119,132049,213
CESSNOCK,169539,20322,46544,1710,65833,137
GOSFORD,561872,75263,136337,6585,314363,456
HORNSBY,491400,55595,99170,4636,206539,328
HUNTERS HILL,49451,5207,9399,415,17262,27
HURSTVILLE,206732,30582,61534,3408,94562,170
KOGARAH,154995,21943,34122,1757,85845,89
KU-RING-GAI,423681,38419,59451,2558,113759,179
LAKE MACQUARIE,618221,76941,127581,6038,218487,400
LANE COVE,103543,13576,38755,1437,88173,158
LEICHHARDT,139286,25045,65349,3023,70319,162
MAITLAND,211676,25445,71210,2616,100774,184
MANLY,123299,18904,40558,1722,50509,100
MARRICKVILLE,186390,35775,93536,4244,125021,258
MOSMAN,107977,13607,25871,1218,22341,60
MUSWELLBROOK,58989,6265,30850,1228,31934,85
NEWCASTLE,417548,65990,181494,7542,310338,565
NORTH SYDNEY,196239,36532,173157,6550,291285,481
PITTWATER,194441,23889,51961,2864,61357,114
PORT STEPHENS,234608,30341,59845,2839,99373,194
RANDWICK,338363,57707,79549,3352,205460,282
ROCKDALE,244919,40360,63762,2890,92111,179
RYDE,286196,42213,118351,3674,448369,549
SINGLETON,90467,8890,33670,1713,47650,108
STRATHFIELD,91513,13053,45988,1580,139250,172
SUTHERLAND,730913,83932,152667,7292,241733,383
SYDNEY,440233,93688,850324,28502,2857349,3271
UPPER HUNTER,48468,5243,23559,1211,14843,43
WARRINGAH,409591,56905,134800,6173,233057,385
WAVERLEY,190500,32850,68921,3211,118894,172
WILLOUGHBY,198995,28390,135183,4950,339766,433
WOOLLAHRA,229535,27405,63775,2962,54279,143
WYONG,465454,64275,106076,5058,254721,334
