2015-2016,,,,,,,
Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers,
ASHFIELD,81477.98932,18658.30601,27355.53755,1318.464481,45893.44079,87.71857923,
AUBURN,134527.1461,29663.83333,116800.1873,3835.846995,448419.7449,543.9180328,
BANKSTOWN,427382.3655,67799.33333,145613.8823,7134.551913,460288.8705,591.0956284,
BOTANY BAY,82077.93492,18304.63388,68571.71055,2735.95082,146901.3895,303.6584699,
BURWOOD,66644.73243,13788.47541,38199.4276,1796.434426,91261.55503,114.0655738,
CANADA BAY,188857.4576,37376.84699,65589.38955,2848.5,143869.7915,255.273224,
CANTERBURY,276548.8241,56319.07377,81896.56528,4410.887978,114635.1328,206.8169399,
CESSNOCK,157514.7054,22865.40164,40730.49599,1803.868852,72089.22393,155.1420765,
GOSFORD,492899.8293,78567.5082,129936.7542,6761.795082,286392.6593,432.6612022,
HORNSBY,405352.7877,58111.02186,86824.39919,4452.519126,181046.4311,296.3879781,
HUNTERS HILL,44827.18703,5482.964481,9478.68462,440.7076503,17182.02233,28.36885246,
HURSTVILLE,178550.727,32677.78415,65977.35803,3669.480874,91088.71949,173.9289617,
KOGARAH,133443.8534,23150.70219,33561.1882,1905.248634,77869.31401,94.38797814,
KU-RING-GAI,366025.155,42974.33333,57632.91508,2641.762295,98677.97178,176.8415301,
LAKE MACQUARIE,534920.5854,82331.55738,120808.3115,6353.967213,208946.9523,426.8360656,
LANE COVE,91796.96432,15078.89891,37084.78144,1547.743169,69961.48973,163.3333333,
LEICHHARDT,120949.0398,25976.82514,58545.65614,3068.754098,57632.61137,140.352459,
MAITLAND,202790.5515,30490.5,58588.41105,2904.606557,94478.74941,206.7404372,
MANLY,109272.4333,19626.39071,35915.2319,1848.838798,49234.67567,97.90163934,
MARRICKVILLE,160574.3697,38226.48634,89610.06091,4402.92623,130274.4804,263.715847,
MOSMAN,94882.18166,13949.52186,22841.42639,1213.360656,19845.80737,67.53278689,
MUSWELLBROOK,55807.73035,7265.557377,30003.65262,1339.311475,26131.85617,80.42896175,
NEWCASTLE,361929.968,69825.95082,173200.9116,7926.204918,292876.3076,595.7814208,
NORTH SYDNEY,169906.7694,38618.16667,145688.9605,6420.953552,222900.872,450.4043716,
PITTWATER,170058.8365,25502.52459,48750.94224,2950.185792,59101.2698,115.3114754,
PORT STEPHENS,209280.4197,32827.20492,52356.30568,2929.161202,103083.3214,214.079235,
RANDWICK,294332.9929,61121.37705,76515.30128,3478.478142,193831.0542,296.636612,
ROCKDALE,215322.3161,44295.07104,59704.28289,3054.606557,81432.79179,195.8442623,
RYDE,250190.3554,46699.3388,114309.3192,4412.808743,451466.0606,617.8743169,
SINGLETON,80927.22807,9656.016393,30194.51178,1702.45082,48148.87308,105.2814208,
STRATHFIELD,80718.60155,14585.2377,37442.89114,1524.918033,129343.7559,179.3961749,
SUTHERLAND,631227.1114,86586.0765,143374.0806,7320.191257,244093.4784,388.3743169,
SYDNEY,408669.288,107389.8907,770077.642,31137.72131,2409441.977,3173.636612,
UPPER HUNTER,43328.21318,5653.942623,24172.89009,1261.338798,15961.22017,48.36612022,
WARRINGAH,351403.8939,59557.95082,127419.01,6482.693989,212532.1103,352.2349727,
WAVERLEY,166072.1843,33821.1612,67379.7643,3352.213115,103680.4224,186.0054645,
WILLOUGHBY,171760.0939,30367.43169,126968.6053,5177.360656,290674.3377,429.3797814,
WOOLLAHRA,198253.4186,27784.47814,58169.63275,2963.959016,52714.72535,125.2595628,
WYONG,419219.41,68332.42623,94706.33824,5187.215847,257413.2183,362.6092896,
