2017-2018,,,,,,,
Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers,Unmetered Supply MWh
BAYSIDE*,298543.3231,65388.09315,130413.2493,5841.273973,248121.1041,504.2931507,6672.728465
BURWOOD,67152.98752,14286.05753,40330.40007,1808.235616,87270.26311,113.4082192,1261.693511
CANADA BAY,185659.8724,37853.40822,66925.16979,2887.860274,136906.5,244.4054795,2730.5645
CANTERBURY-BANKSTOWN*,711911.6979,128596.2493,229562.8081,11796.32603,551902.495,768.5945205,12113.00622
CENTRAL COAST*,901230.4351,149891.3041,220439.7193,11874.15342,547893.6287,750.4438356,15042.35722
CESSNOCK,161656.8651,23648.79452,42118.21706,1808.049315,71959.3778,146.3205479,2134.691449
CUMBERLAND**,110548.2392,22836.76986,69337.65619,2600.912329,151840.7429,242.0246575,2559.321324
GEORGES RIVER*,308957.0216,57242.46301,90536.43042,5406.189041,172013.0659,244.9342466,5207.424946
HORNSBY*,351708.247,52179.56986,77585.44276,4102.158904,156250.6223,271.8876712,4303.95452
HUNTERS HILL,43916.18561,5519.076712,8801.7187,427.1835616,16175.9792,27.91780822,420.4775765
INNER WEST*,357184.7994,83944.28219,172728.734,8793.536986,229302.5853,475.1068493,8094.664315
KU-RING-GAI,355415.9792,43906.85205,55633.14947,2633.161644,95660.67667,180.6575342,4290.079622
LAKE MACQUARIE,525355.581,84569.54521,118849.7095,6583.986301,199322.5928,408.2191781,5739.612349
LANE COVE,90477.85554,15537.01096,36433.47831,1498.482192,63214.19509,151.7863014,1426.661711
MAITLAND,210569.6444,31925.05479,59121.24543,2870.657534,98251.16873,196.890411,3505.310593
MOSMAN,91749.54681,14091.42466,21791.44006,1234.884932,19755.74103,64.59178082,922.2422608
MUSWELLBROOK,56801.74734,7270.871233,36651.32017,1352.728767,27433.15873,70.84657534,915.0047623
NEWCASTLE,359036.9843,71090.66027,169217.9046,7810.169863,284706.1694,557.9506849,7833.032421
NORTH SYDNEY,165428.1206,39141.5726,138584.0499,6210.378082,206474.8567,419.3068493,2013.617578
NORTHERN BEACHES*,613642.1927,105853.674,207888.6406,11184.08767,322142.7105,550.2739726,10475.00013
PARRAMATTA**,78535.28976,18456.58082,58104.55962,1743.745205,286962.6374,330.5534247,1036.57565
PORT STEPHENS,211109.2073,33813.09589,53589.66013,2923.654795,101280.4096,202.5150685,2309.245219
RANDWICK,287796.1135,61795.12055,77536.5112,3468.235616,193411.2406,272.769863,5925.676291
RYDE,248835.9778,49029.53151,110658.2196,4210.169863,437933.4724,590.5589041,4152.765764
SINGLETON,81638.86443,9729.986301,35384.35045,1693.616438,52419.56809,99.16712329,898.2961136
STRATHFIELD,82008.50645,15572.69315,39780.97611,1553.690411,120072.6519,182.9178082,1592.550693
SUTHERLAND,609242.006,87434.53973,143840.1466,7632.235616,238532.5719,375.5013699,8039.16704
SYDNEY,410972.6973,111112.7425,754052.2794,31470.8,2252947.525,3053.50137,10355.68557
UPPER HUNTER,44700.43906,5705.435616,29606.58861,1254.482192,13639.11224,41.81643836,569.7976457
WAVERLEY,163185.486,34243.03836,54996.25023,2733.59726,115470.9121,168.6575342,1921.250836
WILLOUGHBY,168403.7279,30938.73425,117561.2368,4968.306849,285067.7048,380.2547945,2516.781221
WOOLLAHRA,191838.1982,27774.75616,56088.28291,2923.945205,53815.3213,122.9726027,3141.91613
