Australian Bureau of Statistics

"2006 Census - Ethnicity"
"Local Government Area (LGA) by Age 10 Year Age Groups (AGEP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Age 10 Year Age Groups (AGEP)","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Local Government Area (LGA)",
"Albury (C)",6112,7004,6291,5967,6568,5935,3789,2755,1564,286,13,46285,
"Armidale Dumaresq (A)",2846,4320,3555,2524,3216,2876,1946,1284,679,132,3,23369,
"Ashfield (A)",4219,3896,6618,6935,6144,4588,2803,2460,1591,404,18,39670,
"Auburn (A)",9415,8988,12033,10616,9216,6682,3861,2523,1407,221,10,64960,
"Ballina (A)",4455,5299,3305,4364,5643,5718,4029,3261,2050,324,6,38462,
"Balranald (A)",343,348,253,307,392,358,204,153,76,3,0,2442,
"Bankstown (C)",24986,24556,22938,23518,23833,19668,13133,10857,6222,767,18,170488,
"Bathurst Regional (A)",4737,5861,5026,4603,4977,4534,2892,2011,1008,184,3,35845,
"Baulkham Hills (A)",22257,24829,19203,22379,25021,22752,13797,6005,2690,450,18,159393,
"Bega Valley (A)",3653,4474,2066,3185,4760,4977,3964,2568,1234,172,9,31061,
"Bellingen (A)",1509,1821,692,1273,2060,1971,1500,996,496,94,0,12417,
"Berrigan (A)",937,1096,588,852,1039,1188,1049,784,390,60,3,7993,
"Blacktown (C)",45204,41788,39480,42659,38891,31161,17575,10122,4204,612,23,271712,
"Bland (A)",892,834,567,709,877,836,618,497,238,33,0,6098,
"Blayney (A)",966,965,537,847,970,917,701,486,171,27,0,6594,
"Blue Mountains (C)",9755,10654,7312,9459,11555,11364,6988,4257,2276,445,3,74064,
"Bogan (A)",491,356,253,423,380,333,346,208,77,10,0,2879,
"Bombala (A)",319,318,206,286,382,411,291,184,126,21,0,2538,
"Boorowa (A)",296,303,165,243,344,384,267,197,79,16,0,2292,
"Botany Bay (C)",4495,4182,5137,5781,5180,4275,3296,2308,1151,183,4,35994,
"Bourke (A)",564,481,389,429,431,357,234,150,54,6,0,3094,
"Brewarrina (A)",353,311,267,275,280,196,127,92,37,3,3,1943,
"Broken Hill (C)",2433,2592,1843,2204,2846,2741,1968,1801,787,151,0,19366,
"Burwood (A)",3037,3752,5984,4378,4358,3558,2369,1997,1231,249,11,30924,
"Byron (A)",3491,4070,2610,3768,5136,4811,2332,1502,892,145,3,28765,
"Cabonne (A)",1720,1800,988,1416,1912,1794,1398,889,402,82,5,12396,
"Camden (A)",8502,7909,6026,8462,7254,5513,3035,1762,991,184,3,49645,
"Campbelltown (C)",21833,24427,21217,19109,21276,19083,9171,4543,2106,302,10,143075,
"Canada Bay (A)",7536,6608,9342,11944,9903,8087,5534,4125,2240,414,8,65746,
"Canterbury (C)",18332,15891,18414,20134,19256,14653,10715,8078,3904,563,21,129962,
"Carrathool (A)",414,385,287,377,441,355,272,194,67,18,0,2817,
"Central Darling (A)",271,245,224,260,287,314,217,82,35,3,0,1939,
"Cessnock (C)",6477,6805,5242,6104,6548,6314,4221,2786,1474,223,10,46209,
"Clarence Valley (A)",5853,6916,3551,5066,7081,7224,5869,4226,2029,328,3,48148,
"Cobar (A)",749,725,642,658,800,586,412,244,77,16,4,4915,
"Coffs Harbour (C)",8092,9910,5981,7406,9696,9428,6614,4790,2571,414,8,64913,
"Conargo (A)",276,238,154,216,271,245,179,64,28,3,3,1675,
"Coolamon (A)",642,595,296,471,567,515,449,312,165,22,0,4032,
"Cooma-Monaro (A)",1205,1487,815,1160,1503,1368,1071,684,370,54,0,9728,
"Coonamble (A)",662,598,397,503,600,581,409,314,133,20,0,4212,
"Cootamundra (A)",907,1002,588,750,1042,1063,936,667,301,48,4,7317,
"Corowa Shire (A)",1378,1369,855,1214,1445,1560,1422,1140,534,54,0,10978,
"Cowra (A)",1698,1777,1084,1410,1668,1765,1470,1017,498,88,4,12478,
"Deniliquin (A)",962,1086,660,872,1056,990,749,670,327,55,4,7433,
"Dubbo (C)",5853,5918,4578,5032,5394,4579,3088,2160,1063,177,3,37845,
"Dungog (A)",1027,1239,603,966,1271,1198,936,507,268,42,0,8060,
