Australian Bureau of Statistics

"2011 Census - Usual Address and Internal Migration"
"LGA by AGE10P - Age in Ten Year Groups"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"LGA",
"Albury (C)",6098,6749,6526,5885,6273,6282,4749,3044,1853,337,7,47808,
"Armidale Dumaresq (A)",2925,3981,3912,2446,3056,3059,2270,1493,804,156,3,24105,
"Ashfield (A)",4394,3731,7343,7063,5969,4849,3237,2391,1738,492,17,41213,
"Auburn (C)",10164,9005,15072,12318,9828,8213,4727,2648,1497,255,0,73738,
"Ballina (A)",4418,5017,3155,3995,5374,6022,5131,3347,2383,427,8,39272,
"Balranald (A)",334,278,214,271,316,370,255,167,78,9,0,2282,
"Bankstown (C)",26968,25528,24918,24641,24213,22126,15623,10092,7089,1130,21,182351,
"Bathurst Regional (A)",5317,5710,5514,4587,5025,4884,3853,2193,1214,214,11,38517,
"Bega Valley (A)",3515,4130,2209,2753,4172,5609,4893,2984,1437,240,7,31950,
"Bellingen (A)",1481,1774,823,1109,1769,2150,1716,1060,531,97,5,12515,
"Berrigan (A)",895,1020,587,760,904,1194,1282,879,438,95,0,8067,
"Blacktown (C)",48637,44629,43158,47527,42044,34317,23181,11408,5383,797,18,301097,
"Bland (A)",893,748,521,665,730,823,641,516,280,48,0,5862,
"Blayney (A)",1033,969,641,747,1026,960,785,541,252,33,0,6985,
"Blue Mountains (C)",9702,10083,6991,8616,11143,12016,9523,4817,2532,513,12,75941,
"Bogan (A)",468,379,299,340,412,314,341,237,95,17,0,2900,
"Bombala (A)",278,304,189,228,334,390,352,180,120,33,0,2407,
"Boorowa (A)",281,335,185,221,325,359,371,204,105,16,0,2399,
"Botany Bay (C)",5026,4366,5712,6382,5705,4559,3643,2432,1316,221,0,39354,
"Bourke (A)",525,368,363,365,413,357,277,145,68,0,0,2867,
"Brewarrina (A)",336,247,241,187,273,239,136,67,46,5,0,1766,
"Broken Hill (C)",2178,2306,2046,1875,2404,2749,2272,1547,948,181,3,18519,
"Burwood (A)",3138,3597,6920,4623,4200,3755,2623,1922,1358,280,5,32424,
"Byron (A)",3485,3600,2482,3709,4688,5313,3333,1462,952,175,3,29207,
"Cabonne (A)",1807,1841,1023,1339,1828,1786,1669,1001,463,65,3,12823,
"Camden (A)",9243,8763,7106,8644,8347,6491,4389,2264,1248,228,8,56719,
"Campbelltown (C) (NSW)",21223,22368,21813,19554,19500,19751,13246,5518,2568,416,6,145969,
"Canada Bay (A)",9211,7193,11719,13265,10958,9010,6836,4354,2735,468,11,75762,
"Canterbury (C)",19196,16346,20394,20954,19627,15985,11560,8294,4425,655,18,137453,
"Carrathool (A)",368,318,280,304,392,397,249,186,74,12,0,2585,
"Central Darling (A)",271,260,247,237,275,292,256,108,31,3,0,1992,
"Cessnock (C)",7246,7026,6232,6480,6617,6817,5626,2908,1645,249,3,50840,
"Clarence Valley (A)",5776,6649,3973,4747,6361,7719,7160,4542,2325,409,13,49666,
"Cobar (A)",743,614,671,648,626,623,406,266,115,14,0,4713,
"Coffs Harbour (C)",8424,9412,6780,7255,9267,10179,8413,5193,2968,522,11,68414,
"Conargo (A)",239,225,121,183,236,241,180,85,28,0,0,1539,
"Coolamon (A)",600,580,306,383,578,557,510,370,184,30,3,4100,
"Cooma-Monaro (A)",1177,1333,841,1083,1438,1459,1199,744,417,72,0,9773,
"Coonamble (A)",562,559,426,407,546,578,468,301,157,23,0,4031,
"Cootamundra (A)",897,934,580,653,922,1042,1070,764,411,56,3,7336,
"Corowa Shire (A)",1298,1379,847,1071,1365,1524,1632,1193,610,93,0,11001,
"Cowra (A)",1463,1660,1005,1180,1535,1739,1651,1194,628,83,9,12146,
"Deniliquin (A)",885,955,607,741,880,1066,837,687,398,60,3,7121,
"Dubbo (C)",5802,5833,4797,4590,5231,4980,3679,2367,1307,215,4,38808,
"Dungog (A)",991,1156,682,842,1214,1339,1117,649,278,56,3,8317,
"Eurobodalla (A)",3724,4217,2286,3018,4323,5578,6261,3906,2084,336,7,35739,
"Fairfield (C)",25009,27562,27012,24305,26409,25280,16278,10077,5100,708,27,187766,
"Forbes (A)",1226,1322,903,936,1175,1206,1157,767,387,86,0,9169,
"Gilgandra (A)",568,597,378,415,576,643,542,394,219,30,0,4368,
"Glen Innes Severn (A)",1038,1056,752,837,1068,1295,1284,823,412,87,0,8655,
"Gloucester (A)",499,573,312,419,630,722,860,524,296,48,0,4879,
"Gosford (C)",19790,21261,16984,18550,22401,22190,18581,12399,8646,1614,21,162439,
"Goulburn Mulwaree (A)",3347,3666,3011,3256,3858,3774,3292,2002,1113,167,7,27480,
"Great Lakes (A)",3390,3718,2173,2779,3938,4839,6083,4594,2487,430,0,34431,
"Greater Hume Shire (A)",1314,1470,795,932,1354,1481,1346,669,394,59,4,9817,
"Greater Taree (C)",5430,6261,3655,4217,5817,7042,6904,4509,2286,407,6,46541,
"Griffith (C)",3655,3488,3099,3056,3357,3039,2103,1513,928,123,0,24363,
"Gundagai (A)",524,495,303,385,486,528,468,302,157,21,5,3663,
"Gunnedah (A)",1692,1686,1315,1290,1542,1644,1328,974,511,77,0,12065,
"Guyra (A)",660,595,387,479,555,617,575,319,179,33,4,4396,
"Gwydir (A)",637,576,401,472,689,658,759,496,226,39,0,4965,
"Harden (A)",435,446,288,353,430,527,554,355,166,30,0,3585,
"Hawkesbury (C)",8602,9491,8171,7712,9511,8178,5933,2961,1485,303,3,62353,
"Hay (A)",391,400,275,252,458,434,347,277,102,22,0,2958,
"Holroyd (C)",14779,11990,15379,16658,12961,10603,8384,5030,2887,485,6,99163,
"Hornsby (A)",19632,22142,18039,19662,24409,21714,15111,8909,5846,1351,38,156848,
"Hunters Hill (A)",1604,2051,1137,1380,1939,1701,1451,866,818,258,15,13216,
"Hurstville (C)",9386,9256,12008,11159,11016,9860,7178,4962,3270,751,18,78853,
"Inverell (A)",2237,2251,1554,1754,2050,2087,1981,1375,663,122,6,16077,
"Jerilderie (A)",172,199,129,125,211,240,202,123,79,12,0,1495,
"Junee (A)",755,734,757,764,816,825,672,357,178,18,0,5879,
"Kempsey (A)",3548,3732,2378,2677,3615,4383,3967,2341,1291,200,4,28134,
"Kiama (A)",2186,2716,1801,1882,2663,3229,2609,1684,1035,193,3,19985,
"Kogarah (C)",6469,6821,8389,8067,8248,7025,5116,3215,2037,407,9,55805,
"Ku-ring-gai (A)",13550,17718,10175,9988,17470,15119,11364,7386,5255,1245,35,109299,
"Kyogle (A)",1124,1250,685,833,1261,1703,1266,675,358,60,4,9227,
"Lachlan (A)",952,789,728,693,764,897,734,554,308,48,0,6477,
"Lake Macquarie (C)",22718,25436,20570,21628,25460,26049,22507,14436,8693,1473,28,189005,
"Lane Cove (A)",4183,3523,4126,5201,4710,3835,2979,1605,1059,293,7,31510,
"Leeton (A)",1527,2131,1101,1222,1454,1388,1067,753,342,50,3,11039,
"Leichhardt (A)",7047,3380,6684,11752,8885,6261,4701,2168,1116,199,7,52197,
"Lismore (C)",5364,6072,4727,4848,6040,6733,4546,2576,1538,309,5,42764,
"Lithgow (C)",2483,2563,2105,2224,2716,2956,2689,1539,767,118,0,20162,
"Liverpool (C)",28205,27770,25687,26900,26448,20913,13249,7270,3234,455,13,180141,
"Liverpool Plains (A)",952,946,676,758,975,1120,1019,657,303,65,3,7479,
"Lockhart (A)",423,403,188,303,420,435,391,233,156,29,4,2996,
"Maitland (C)",9887,9781,8460,9149,9387,8587,6362,3604,1955,294,6,67479,
"Manly (A)",5473,3871,4963,7521,6164,4467,3603,2027,1384,273,6,39748,
"Marrickville (A)",8494,5633,13757,16426,12447,8556,5561,3608,1737,275,8,76501,
"Mid-Western Regional (A)",2931,3047,2127,2488,3176,2940,2898,1733,808,157,5,22320,
"Moree Plains (A)",2180,1813,1666,1808,1856,1697,1314,727,319,48,0,13428,
"Mosman (A)",3298,3076,3018,3980,4285,3540,3139,1618,1183,314,13,27452,
"Murray (A)",749,833,562,699,862,970,1138,773,323,40,0,6957,
"Murrumbidgee (A)",354,299,256,271,316,302,218,172,65,7,0,2261,
"Muswellbrook (A)",2466,2252,2195,2216,2271,1928,1361,706,330,64,0,15793,
"Nambucca (A)",2145,2277,1310,1548,2185,3072,2898,1910,1120,163,3,18643,
"Narrabri (A)",1918,1769,1332,1562,1762,1769,1440,883,426,71,0,12926,
"Narrandera (A)",840,778,504,618,721,856,735,485,304,59,0,5900,
"Narromine (A)",1084,897,615,704,817,902,827,493,227,20,0,6584,
"Newcastle (C)",17341,17022,24765,20364,19693,18605,13917,9097,6521,1198,23,148534,
"North Sydney (A)",5380,3249,11783,15036,8524,6997,6211,3084,1629,385,17,62290,
"Oberon (A)",638,694,521,527,700,698,756,334,164,14,0,5041,
"Orange (C)",5656,5512,4986,4836,4868,4641,3646,2351,1336,222,11,38056,
"Palerang (A)",1890,2159,1103,1628,2506,2392,1733,676,228,33,4,14351,
"Parkes (A)",2088,2168,1468,1612,1890,1906,1501,1146,675,125,4,14592,
"Parramatta (C)",22375,18705,30082,28661,21894,18331,12694,8037,5082,982,17,166858,
"Penrith (C)",26044,25750,26729,25804,24364,23007,15768,6984,3404,586,19,178465,
"Pittwater (A)",7698,7245,4961,6599,8724,8401,6888,3720,2362,534,16,57154,
"Port Macquarie-Hastings (A)",8271,9055,5538,6931,9424,10159,10557,7582,4398,777,12,72698,
"Port Stephens (A)",8272,8573,6392,7115,8738,8665,8659,5387,2613,385,8,64808,
"Queanbeyan (C)",5138,5015,5587,5680,6296,4853,2935,1519,835,125,4,37994,
"Randwick (C)",13947,12480,25925,22364,17699,13815,10398,6789,4647,896,27,128987,
"Richmond Valley (A)",2977,3062,1965,2282,2778,3158,2745,1857,1025,182,5,22038,
"Rockdale (C)",11800,10153,15351,16005,13326,11003,8801,6123,3898,857,28,97339,
"Ryde (C)",11916,10781,17493,16334,14430,12305,8765,6023,4185,784,25,103040,
"Shellharbour (C)",8760,9599,7369,8023,9110,8166,6309,4025,1988,250,3,63604,
"Shoalhaven (C)",10498,11717,8012,8913,11561,13285,13585,9480,4960,781,13,92812,
"Singleton (A)",3312,3517,2989,3014,3457,2902,1935,954,519,93,0,22695,
"Snowy River (A)",973,1061,886,944,1227,1060,799,382,151,25,0,7509,
"Strathfield (A)",3639,4527,7280,5200,4697,4137,2656,1760,1058,235,5,35187,
"Sutherland Shire (A)",27346,26493,26215,28446,30277,28477,21599,12292,8185,1500,38,210862,
"Sydney (C)",9309,8539,51434,41903,22269,16154,11078,5651,2683,479,16,169506,
"Tamworth Regional (A)",7790,7866,6240,6444,7372,7639,6322,4116,2137,359,10,56291,
"Temora (A)",740,791,460,538,763,818,755,536,294,68,0,5776,
"Tenterfield (A)",857,800,440,698,784,1188,1079,630,280,43,0,6809,
"The Hills Shire (A)",23557,25370,19212,22209,26237,23311,17999,7987,3414,559,16,169872,
"Tumbarumba (A)",404,415,276,386,455,518,454,298,132,23,0,3357,
"Tumut Shire (A)",1472,1436,1038,1250,1475,1516,1315,865,485,89,0,10935,
"Tweed (A)",9783,10578,7321,8799,11244,12105,10858,8307,5219,875,20,85107,
"Upper Hunter Shire (A)",1986,1735,1595,1703,1778,1868,1538,941,491,118,5,13751,
"Upper Lachlan Shire (A)",823,952,463,710,1043,1093,1099,685,289,44,0,7192,
"Uralla (A)",825,864,456,612,865,980,813,410,169,34,0,6032,
"Urana (A)",167,141,69,106,158,181,160,121,41,6,0,1158,
"Wagga Wagga (C)",8457,8793,9223,7354,7464,7332,5210,3316,1944,355,6,59459,
"Wakool (A)",427,527,300,328,534,694,535,371,218,33,4,3962,
"Walcha (A)",360,382,262,300,401,427,460,261,135,26,0,3021,
"Walgett (A)",991,701,658,735,850,988,856,463,190,22,0,6453,
"Warren (A)",403,325,266,302,393,410,353,216,85,23,0,2759,
"Warringah (A)",19704,16345,15599,21420,22396,16550,12903,8572,5858,1359,35,140739,
"Warrumbungle Shire (A)",1263,1261,736,912,1183,1401,1344,928,458,92,0,9589,
"Waverley (A)",7298,4815,11297,14462,8929,6263,4883,2958,2111,461,11,63485,
"Weddin (A)",451,438,241,355,468,538,576,368,200,38,0,3665,
"Wellington (A)",1140,1145,884,944,1054,1163,1032,747,332,49,0,8494,
"Wentworth (A)",884,907,611,744,891,1012,846,473,204,34,0,6610,
"Willoughby (C)",9123,7271,9288,11422,10381,7921,5813,3281,2291,543,14,67355,
"Wingecarribee (A)",5434,6046,3496,4177,6113,6100,6500,4112,2013,392,19,44396,
"Wollondilly (A)",6574,6666,4797,5692,6488,5905,4155,1976,868,144,0,43261,
"Wollongong (C)",23746,24750,26900,24613,26009,24356,19200,13603,7970,1230,36,192419,
"Woollahra (A)",5555,5059,7765,8927,7122,6011,5783,3162,2195,572,14,52159,
"Wyong (A)",19918,20809,16127,17375,19791,18743,16753,12034,6975,1193,28,149745,
"Yass Valley (A)",2177,2126,1256,1919,2372,2170,1702,806,424,60,0,15020,
"Young (A)",1776,1757,1131,1365,1608,1534,1482,928,547,101,8,12235,
"Unincorporated NSW",150,75,129,150,176,191,160,90,45,0,0,1168,
"No Usual Address (NSW)",871,1069,2742,2284,1985,1805,1433,508,173,49,0,12917,
"Total",893344,882585,922852,956457,964927,888634,695002,423393,244852,44518,1090,6917656,

"Data source: Census of Population and Housing, 2011, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
