Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"LGA (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"LGA (UR)",
"Albury (C)",6447,6407,6732,6340,6462,6500,5778,3847,2070,481,7,51080,
"Armidale Regional (A)",3422,4474,4621,3105,3353,3869,3149,2174,1086,202,3,29451,
"Ballina (A)",4521,4791,3184,4059,5365,6179,6364,4191,2467,650,7,41786,
"Balranald (A)",329,288,255,237,275,342,326,143,82,9,0,2290,
"Bathurst Regional (A)",5331,5766,5839,4791,5243,5179,4574,2824,1451,299,12,41301,
"Bega Valley (A)",3336,3718,2318,2763,3847,5558,6047,3652,1672,333,5,33254,
"Bellingen (A)",1411,1506,842,1066,1608,2119,2078,1275,615,142,3,12670,
"Berrigan (A)",975,892,709,759,917,1090,1481,1037,495,107,4,8462,
"Blacktown (C)",53540,46413,47009,55213,46039,38466,28474,14384,6152,1253,15,336965,
"Bland (A)",814,749,535,635,690,856,760,515,326,74,0,5958,
"Blayney (A)",989,982,693,742,970,1047,907,591,302,35,0,7259,
"Blue Mountains (C)",9153,9688,6816,8176,10853,11382,11226,6273,2726,589,13,76902,
"Bogan (A)",387,335,334,259,360,373,261,253,119,14,0,2689,
"Botany Bay (C)",5571,4995,8197,8106,6459,5162,3859,2691,1345,259,5,46651,
"Bourke (A)",436,299,345,319,359,368,259,150,77,10,0,2633,
"Brewarrina (A)",262,210,269,161,217,264,156,64,39,5,0,1645,
"Broken Hill (C)",1994,1901,2078,1866,2105,2638,2411,1580,976,157,3,17709,
"Burwood (A)",3251,3712,9020,5543,4193,4217,3036,2056,1441,350,8,36810,
"Byron (A)",3402,3492,2845,3745,4772,5238,4840,2020,924,268,4,31556,
"Cabonne (A)",1865,1933,1053,1324,1782,1957,1722,1123,513,116,4,13391,
"Camden (A)",12873,11183,10533,12058,11348,8556,6382,3367,1522,394,5,78220,
"Campbelltown (C) (NSW)",23248,21263,22671,22983,19742,19857,16065,7693,2924,552,6,157007,
"Canada Bay (A)",10269,8030,14467,15441,12210,10416,8219,5201,3016,739,11,88015,
"Canterbury-Bankstown (A)",49154,43745,50987,50561,44878,41898,30918,19693,11797,2642,36,346300,
"Carrathool (A)",358,340,338,316,391,407,282,178,90,24,0,2723,
"Central Coast (C) (NSW)",40098,40256,35369,36591,42604,43933,40355,29128,15666,3666,64,327736,
"Central Darling (A)",254,214,225,240,219,262,243,124,40,11,0,1831,
"Cessnock (C)",7788,7042,6960,6932,7178,7106,6652,3778,1759,368,7,55561,
"Clarence Valley (A)",5429,5840,4134,4370,5883,7808,8351,5566,2710,557,14,50670,
"Cobar (A)",742,542,597,666,530,675,468,273,134,26,0,4650,
"Coffs Harbour (C)",8817,8868,7452,7683,9130,10324,10221,6437,3239,765,14,72949,
"Coolamon (A)",550,598,384,388,535,595,555,449,220,42,0,4313,
"Coonamble (A)",531,465,443,382,495,565,514,325,166,31,0,3919,
"Cowra (A)",1389,1507,1187,1125,1496,1721,1897,1315,662,156,6,12464,
"Cumberland (A)",32041,24853,38533,37716,26037,23438,17118,9974,5160,1187,19,216077,
"Dungog (A)",1092,1129,746,925,1137,1446,1333,787,324,58,0,8976,
"Edward River (A)",1053,1024,935,833,1088,1271,1239,828,471,98,5,8847,
"Eurobodalla (A)",3363,3749,2512,2863,4060,5706,7342,4885,2241,500,10,37229,
"Fairfield (C)",24867,27232,29379,25039,26314,27110,20502,11165,6006,1174,18,198816,
"Federation (A)",1373,1396,1008,1062,1352,1764,2007,1456,723,131,0,12279,
"Forbes (A)",1300,1281,998,968,1081,1269,1240,904,470,87,8,9589,
"Georges River (A)",16818,16697,24024,21350,19000,18744,14268,8983,5495,1443,16,146834,
"Gilgandra (A)",545,477,440,392,482,605,573,456,223,41,0,4234,
"Glen Innes Severn (A)",971,1011,769,865,1005,1278,1351,1015,467,98,4,8832,
"Goulburn Mulwaree (A)",3609,3508,3440,3456,3843,4085,3736,2478,1204,235,6,29608,
"Greater Hume Shire (A)",1410,1503,768,1014,1257,1586,1465,886,367,101,4,10357,
"Griffith (C)",3585,3402,3370,3204,3228,3273,2616,1673,1058,229,0,25635,
"Gundagai (A)",1274,1350,923,1075,1270,1551,1665,1292,602,130,4,11144,
"Gunnedah (A)",1798,1430,1453,1409,1460,1611,1391,992,558,100,0,12214,
"Gwydir (A)",673,552,429,474,640,766,774,632,256,59,0,5255,
"Hawkesbury (C)",8460,8996,8616,7534,9245,8994,6725,3975,1664,366,9,64591,
"Hay (A)",325,363,292,285,337,505,385,287,149,12,0,2945,
"Hilltops (A)",2403,2350,1726,1818,2209,2569,2630,1778,844,168,6,18497,
"Hornsby (A)",18259,19291,15122,17597,21848,19650,14731,9377,5222,1555,20,142666,
"Hunters Hill (A)",1623,2194,1197,1343,2021,1814,1586,1094,777,340,6,13999,
"Inner West (A)",20412,14283,31110,34906,28829,21762,15635,8912,5008,1178,18,182037,
"Inverell (A)",2201,2171,1755,1647,1967,2193,2092,1604,718,134,7,16485,
"Junee (A)",738,712,826,856,864,880,759,431,182,43,0,6295,
"Kempsey (A)",3269,3353,2714,2628,3267,4371,4731,2905,1310,331,6,28886,
"Kiama (A)",2281,2586,1945,2022,2618,3189,3314,2174,1090,240,5,21466,
"Ku-ring-gai (A)",14658,18499,11098,11991,17801,16459,11780,8665,5470,1613,26,118053,
"Kyogle (A)",922,1035,614,723,1078,1647,1599,824,399,95,0,8939,
"Lachlan (A)",950,722,690,709,664,816,746,542,305,48,0,6195,
"Lake Macquarie (C)",24169,24158,21277,22526,25481,26522,24964,17177,9112,1974,11,197373,
"Lane Cove (A)",4606,3995,4921,6470,5222,4228,3193,2025,1070,321,5,36050,
"Leeton (A)",1412,1846,1219,1096,1406,1550,1188,912,447,90,0,11167,
"Lismore (C)",4973,5519,4591,4701,5571,6676,5896,3141,1668,389,13,43134,
"Lithgow (C)",2411,2373,2278,2127,2606,3181,2971,2069,902,163,0,21090,
