Australian Bureau of Statistics

"2021 Census - cultural diversity"
"LGA (UR) by AGE10P Age in Ten Year Groups"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"LGA (UR)",
"Albury",7215,6702,7221,7092,6627,6767,6693,4934,2277,538,19,56093,
"Armidale Regional",3326,4251,4285,3502,3047,3479,3224,2506,1240,266,4,29124,
"Ballina",4738,5226,3827,4913,5548,6141,6871,5538,2700,765,25,46296,
"Balranald",279,276,227,254,248,316,332,166,97,17,0,2208,
"Bathurst Regional",5237,5837,5643,5583,5135,5368,5078,3609,1661,396,8,43567,
"Bayside (NSW)",18536,15734,31877,33367,22298,19234,15231,11276,6190,1423,22,175184,
"Bega Valley",3361,3826,2716,3300,3646,5197,6819,4766,1868,430,9,35942,
"Bellingen",1302,1631,810,1274,1507,1977,2358,1598,666,134,4,13253,
"Berrigan",821,956,636,746,912,1010,1536,1338,561,143,0,8665,
"Blacktown",61298,53201,54241,67886,56355,42319,32504,19861,7481,1597,38,396776,
"Bland",701,683,563,579,639,696,780,548,284,72,0,5547,
"Blayney",967,1014,665,831,850,1082,1049,688,282,67,0,7497,
"Blue Mountains",8592,9699,6521,8705,10394,10879,11335,8319,3050,616,15,78121,
"Bogan",329,300,290,284,265,362,235,234,132,26,0,2467,
"Bourke",354,298,282,316,250,333,254,177,66,15,0,2340,
"Brewarrina",189,177,164,198,111,220,180,83,20,15,0,1356,
"Broken Hill",1967,2007,1990,2078,1842,2280,2545,1765,888,230,3,17588,
"Burwood",3127,3498,9889,6782,4399,4380,3578,2463,1586,504,6,40217,
"Byron",3717,3795,3612,5398,5191,5004,5258,2985,910,244,3,36116,
"Cabonne",1722,1948,1139,1388,1693,1903,1814,1454,589,103,4,13766,
"Camden",21205,16384,15677,21170,16280,11961,8693,5381,2122,430,15,119325,
"Campbelltown (NSW)",26559,23227,23428,27876,22868,19621,17583,10874,3753,705,13,176519,
"Canada Bay",9486,8716,12270,15394,12349,11144,9025,6553,3283,922,26,89177,
"Canterbury-Bankstown",49462,46669,52775,54815,47271,44385,36227,23445,12699,3162,80,371006,
"Carrathool",410,301,398,409,322,396,350,169,94,20,0,2866,
"Central Coast (NSW)",40502,42121,37037,40356,42512,44724,43148,35171,16694,4193,120,346596,
"Central Darling",204,199,222,190,202,231,237,176,48,9,0,1725,
"Cessnock",8614,7953,8459,8691,7474,7670,7437,5013,1887,431,9,63632,
"Clarence Valley",5464,5925,4821,5458,5826,7367,8782,6871,2951,648,10,54115,
"Cobar",569,496,504,605,440,493,498,298,132,27,0,4059,
"Coffs Harbour",8791,9677,7854,9275,9418,10000,10888,8177,3751,902,26,78759,
"Coolamon",558,605,399,426,486,576,607,461,243,34,0,4385,
"Coonamble",565,458,438,437,359,514,467,319,154,31,0,3732,
"Cootamundra-Gundagai Regional",1267,1345,997,1035,1214,1432,1801,1450,709,156,6,11403,
"Cowra",1419,1459,1321,1200,1334,1716,1790,1582,744,157,4,12724,
"Cumberland",32495,27037,40672,41739,29247,25018,19740,12404,5722,1343,29,235439,
"Dubbo Regional",7712,6945,7361,7618,6150,6404,6012,4218,2053,446,8,54922,
